symbol,avg_dollar_vol,ndays
EOG,543591555.3170911,62
PL,541059905.3003476,62
AMT,540001077.6156337,62
GM,539456563.9096657,62
EQIX,536753949.33106846,62
RBLX,535345890.4522423,62
MMM,535114308.5755052,62
B,533713467.7522258,62
CMI,533245046.2130675,62
CSX,530279243.61294425,62
TEL,529625390.1360561,62
VRTX,526607763.1457896,62
FN,526535653.01229584,62
ORLY,524084165.11548525,62
ICE,514286146.17663103,62
ADSK,512555533.71959543,62
BKR,512184990.0539088,62
HAL,511065632.54072195,62
MAR,505931744.3664366,62
CRH,503635912.8058688,62
MARA,502999116.1988918,62
CB,502783601.66720057,62
COR,502429172.3354027,62
VEEV,500427764.88646305,62
AEP,497492786.4451959,62
NOC,495517915.93570745,62
CHTR,494148821.6545562,62
MRSH,493913302.3340565,62
DOCN,493486024.00546384,62
APO,490654158.15191275,62
CIFR,487195621.47135735,62
ABNB,485485308.4614522,62
HLT,484730904.21875745,62
POET,483670652.8639177,62
SO,483267681.5930754,62
CDE,482091331.38579905,62
DOW,479020073.60563236,62
MDLZ,476141912.138396,62
AEM,473905065.50253165,62
KKR,473887307.0799714,62
URI,473461025.1749334,62
LULU,473021246.79159117,62
JCI,472202273.7568397,62
USB,471050703.5976678,62
TDG,470534066.530806,62
CL,468443205.5240781,62
AXON,467402774.5592118,62
CF,467141892.53966665,62
BNY,465852071.3034531,62
CASY,461810869.0735382,62
KEYS,459162218.0739293,62
PSX,457937630.6275241,62
KMB,457927750.4419388,62
RIVN,456365104.7286141,62
PBR,456323969.5970863,62
MCO,453082452.12813187,62
LYB,452459255.1124167,62
TWLO,450269806.30164033,62
LUNR,448770070.2349057,62
WMB,448241928.28444165,62
CNQ,446764870.25741637,62
MSI,441800251.4803892,62
PLD,441280464.1168301,62
AON,441020835.0042138,62
TTD,435296336.6966068,62
WM,435064506.130205,62
HPQ,434987886.50944495,62
CI,431542147.88243216,62
TTWO,430691011.0461501,62
EQT,429222702.4647611,62
GD,425939457.0802119,62
ZM,425772852.05707335,62
CARR,425592394.88930756,62
PNC,425346360.0762421,62
MTSI,420051092.63024515,62
ODFL,418578517.9312759,62
TFC,415565429.0807111,62
LYV,415396342.12716043,62
LHX,413781063.6380809,62
